1903	John-Antoine Nau
1904	Léon Frapié
1905	Claude Farrère
1906	Jérôme et Jean Tharaud
1907	Émile Moselly
1908	Francis de Miomandre
1909	Marius-Ary Leblond
1910	Louis Pergaud
1911	Alphonse de Châteaubriant
1912	André Savignon
1913	Marc Elder
1914	Adrien Bertrand
1915	René Benjamin
1916	Henri Barbusse
1917	Henry Malherbe
1918	Georges Duhamel
1919	Marcel Proust
1920	Ernest Pérochon
1921	René Maran
1922	Henri Béraud
1923	Lucien Fabre
1924	Thierry Sandre
1925	Maurice Genevoix
1926	Henri Deberly
1927	Maurice Bedel
1928	Maurice Constantin-Weyer
1929	Marcel Arland
1930	Henri Fauconnier
1931	Jean Fayard
1932	Guy Mazeline
1933	André Malraux
1934	Roger Vercel
1935	Joseph Peyré
1936	Maxence Van der Meersch
1937	Charles Plisnier
1938	Henri Troyat
1939	Philippe Hériat
1940	Francis Ambrière
1941	Henri Pourrat
1942	Marc Bernard
1943	Marius Grout
1944	Elsa Triolet
1945	Jean-Louis Bory
1946	Jean-Jacques Gautier
1947	Jean-Louis Curtis
1948	Maurice Druon
1949	Robert Merle
1950	Paul Colin
1951	Julien Gracq
1952	Béatrix Beck
1953	Pierre Gascar
1954	Simone de Beauvoir
1955	Roger Ikor
1956	Romain Gary
1957	Roger Vailland
1958	Francis Walder
1959	André Schwarz-Bart
1960	Vintila Horia
1961	Jean Cau
1962	Anna Langfus
1963	Armand Lanoux
1964	Georges Conchon
1965	Jacques Borel
1966	Edmonde Charles-Roux
1967	André Pieyre de Mandiargues
1968	Bernard Clavel
1969	Félicien Marceau
1970	Michel Tournier
1971	Jacques Laurent
1972	Jean Carrière
1973	Jacques Chessex
1974	Pascal Lainé
1975	Émile Ajar (Romain Gary)
1976	Patrick Grainville
1977	Didier Decoin
1978	Patrick Modiano
1979	Antonine Maillet
1980	Yves Navarre
1981	Lucien Bodard
1982	Dominique Fernandez
1983	Frédérick Tristan
1984	Marguerite Duras
1985	Yann Queffélec
1986	Michel Host
1987	Tahar Ben Jelloun
1988	Erik Orsenna
1989	Jean Vautrin
1990	Jean Rouaud
1991	Pierre Combescot
1992	Patrick Chamoiseau
1993	Amin Maalouf
1994	Didier van Cauwelaert
1995	Andreï Makine
1996	Pascale Roze
1997	Patrick Rambaud
1998	Paule Constant
1999	Jean Echenoz
2000	Jean-Jacques Schuhl
2001	Jean-Christophe Rufin
2002	Pascal Quignard
2003	Jacques-Pierre Amette
2004	Laurent Gaudé
2005	François Weyergans
2006	Jonathan Littell
2007	Gilles Leroy
2008	Atiq Rahimi
2009	Marie NDiaye
2010	Michel Houellebecq
2011	Alexis Jenni
2012	Jérôme Ferrari
